Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
1100000.0,1700000.0,Factory Girl,George Hickenlooper,5,5700000.0,5cbf57e7f1b3f84eb09ba56d
25600000.0,60500000.0,The Lucky One,Scott Hicks,7,178900000.0,5cbf57e7f1b3f84eb09ba56e
7400000.0,7400000.0,Mid90s,Jonah Hill,1,7400000.0,5cbf57e7f1b3f84eb09ba56f
77600000.0,217300000.0,Alvin and the Chipmunks,Tim Hill,5,387800000.0,5cbf57e7f1b3f84eb09ba570
23200000.0,80800000.0,Another 48 HRS.,Walter Hill,17,395000000.0,5cbf57e7f1b3f84eb09ba571
15000000.0,37400000.0,Lawless,John Hillcoat,4,60100000.0,5cbf57e7f1b3f84eb09ba572
35500000.0,56100000.0,Primal Fear,Gregory Hoblit,6,213100000.0,5cbf57e7f1b3f84eb09ba573
18400000.0,18400000.0,Quartet,Dustin Hoffman,1,18400000.0,5cbf57e7f1b3f84eb09ba574
15100000.0,46200000.0,One Fine Day,Michael Hoffman,10,151100000.0,5cbf57e7f1b3f84eb09ba575
542000.0,542000.0,Jack Goes Boating,Philip Seymour Hoffman,1,542000.0,5cbf57e7f1b3f84eb09ba576
58700000.0,127100000.0,My Best Friend's Wedding,P.J. Hogan,4,235000000.0,5cbf57e7f1b3f84eb09ba577
8100000.0,17600000.0,Enough Said,Nicole Holofcener,5,40500000.0,5cbf57e7f1b3f84eb09ba578
74800000.0,148800000.0,Les Miserables,Tom Hooper,4,299200000.0,5cbf57e7f1b3f84eb09ba579
39000.0,69100.0,August (1996),Anthony Hopkins,2,78000.0,5cbf57e7f1b3f84eb09ba57a
27500000.0,69100000.0,Lost in Space,Stephen Hopkins,9,247900000.0,5cbf57e7f1b3f84eb09ba57b
84400000.0,260000000.0,The Grinch,Ron Howard,25,2109800000.0000002,5cbf57e7f1b3f84eb09ba57c
35800000.0,94800000.0,The Book of Eli,Albert Hughes,6,214600000.0,5cbf57e7f1b3f84eb09ba57d
33100000.0,94800000.0,The Book of Eli,Allen Hughes,6,198500000.0,5cbf57e7f1b3f84eb09ba57e
41200000.0,70100000.0,Ferris Bueller's Day Off,John Hughes,8,329500000.0,5cbf57e7f1b3f84eb09ba57f
38300000.0,75500000.0,The Hitman's Bodyguard,Patrick Hughes,3,114800000.0,5cbf57e7f1b3f84eb09ba580
3700000.0,3700000.0,Then She Found Me,Helen Hunt,1,3700000.0,5cbf57e7f1b3f84eb09ba581
6900000.0,20700000.0,Little Black Book,Nick Hurran,3,20800000.0,5cbf57e7f1b3f84eb09ba582
47600000.0,57000000.0,American Reunion,Jon Hurwitz,2,95100000.0,5cbf57e7f1b3f84eb09ba583
22800000.0,66900000.00000001,End of Days,Peter Hyams,15,341800000.0,5cbf57e7f1b3f84eb09ba584
6600000.0,18200000.0,Sugar Hill,Leon Ichaso,4,26500000.0,5cbf57e7f1b3f84eb09ba585
660000.0,1700000.0,Mrs. Palfrey at the Claremont,Dan Ireland,4,2600000.0,5cbf57e7f1b3f84eb09ba586
53900000.0,85400000.0,Power Rangers,Dean Israelite,2,107700000.0,5cbf57e7f1b3f84eb09ba587
7400000.0,26100000.0,Howards End,James Ivory,14,103800000.0,5cbf57e7f1b3f84eb09ba588
165600000.0,377800000.0,Return of the King,Peter Jackson,13,2152600000.0,5cbf57e7f1b3f84eb09ba589
984000.0,2200000.0,The Lovers,Azazel Jacobs,3,3000000.0,5cbf57e7f1b3f84eb09ba58a
33500000.0,66000000.0,Magic Mike XXL,Gregory Jacobs,2,66900000.00000001,5cbf57e7f1b3f84eb09ba58b
5000.0,5000.0,Bringing Up Bobby,Famke Janssen,1,5000.0,5cbf57e7f1b3f84eb09ba58c
1900000.0,3100000.0,Capturing the Friedmans,Andrew Jarecki,2,3700000.0,5cbf57e7f1b3f84eb09ba58d
7900000.0,7900000.0,Arbitrage,Nicholas Jarecki,1,7900000.0,5cbf57e7f1b3f84eb09ba58e
2700000.0,13700000.0,Broken Flowers,Jim Jarmusch,12,32600000.0,5cbf57e7f1b3f84eb09ba58f
21400000.0,27900000.0,Moonlight,Barry Jenkins,2,42800000.0,5cbf57e7f1b3f84eb09ba590
